total_requests,hits,misses,hit_rate,miss_rate,throughput,latency_p50,latency_p95,evictions,eviction_rate,cache_efficiency,run_id,distribution,policy,cache_size_mb,cache_size_label,ttl,n_requests,zipf_s,redis_hits,redis_misses
500,321,179,0.642,0.358,2355.945550933379,0.0003161430358886719,0.001077413558959961,0,0.0,-0.0065179999999999995,51,zipf,allkeys-lfu,10,10MB,300,500,2.0,13729,11771
500,315,185,0.63,0.37,2427.28735286288,0.0003025531768798828,0.0010156631469726562,0,0.0,-0.006770000000000001,52,zipf,allkeys-lfu,50,50MB,15,500,2.0,14044,11956
500,323,177,0.646,0.354,2444.0223104301026,0.00028967857360839844,0.0009579658508300781,0,0.0,-0.0064340000000000005,53,zipf,allkeys-lfu,50,50MB,60,500,2.0,14367,12133
500,325,175,0.65,0.35,2378.6402921761223,0.0003018379211425781,0.001096963882446289,0,0.0,-0.00635,54,zipf,allkeys-lfu,50,50MB,300,500,2.0,14692,12308
500,326,174,0.652,0.348,2437.542642281384,0.00031304359436035156,0.0010521411895751953,0,0.0,-0.006308,55,zipf,allkeys-lfu,200,200MB,15,500,2.0,15018,12482
500,320,180,0.64,0.36,2377.812321776212,0.00031757354736328125,0.0010251998901367188,0,0.0,-0.006560000000000001,56,zipf,allkeys-lfu,200,200MB,60,500,2.0,15338,12662
500,314,186,0.628,0.372,2264.9557787826716,0.0003337860107421875,0.0010514259338378906,0,0.0,-0.006812,57,zipf,allkeys-lfu,200,200MB,300,500,2.0,15652,12848
500,306,194,0.612,0.388,1930.8605010666379,0.0004012584686279297,0.001255035400390625,0,0.0,-0.007148,58,zipf,allkeys-lfu,500,500MB,15,500,2.0,15958,13042
500,329,171,0.658,0.342,2321.717835965973,0.00031065940856933594,0.001039743423461914,0,0.0,-0.006181999999999999,59,zipf,allkeys-lfu,500,500MB,60,500,2.0,16287,13213
500,321,179,0.642,0.358,2059.5770758285835,0.0003807544708251953,0.0012383460998535156,0,0.0,-0.0065179999999999995,60,zipf,allkeys-lfu,500,500MB,300,500,2.0,16608,13392
